AccID,AccName,Grade,CritChance%,CritDmg%,SkillDmg%,BasicAtkDmg%,AccPrefab
401,노말 도트 사이트,Normal,0,0,0,3,Scope_Dot1
402,레어 도트 사이트,Rare,0,0,0,6,Scope_Dot2
403,에픽 도트 사이트,Epic,0,0,0,9,Scope_Dot3
404,유니크 도트 사이트,Unique,0,0,0,12,Scope_Dot4
405,전설 도트 사이트,Legend,0,0,0,15,Scope_Dot5
406,신화 도트 사이트 +1,Mystic1,0,0,0,20,Scope_Dot6
407,신화 도트 사이트 +2,Mystic2,0,0,0,22,Scope_Dot6
408,신화 도트 사이트 +3,Mystic3,0,0,0,24,Scope_Dot6
409,신화 도트 사이트 +4,Mystic4,0,0,0,26,Scope_Dot6
410,신화 도트 사이트 +5,Mystic5,0,0,0,28,Scope_Dot6
411,신화 도트 사이트 +6,Mystic6,0,0,0,30,Scope_Dot6
412,신화 도트 사이트 +7,Mystic7,0,0,0,32,Scope_Dot6
413,신화 도트 사이트 +8,Mystic8,0,0,0,34,Scope_Dot6
414,신화 도트 사이트 +9,Mystic9,0,0,0,36,Scope_Dot6
415,신화 도트 사이트 +10,Mystic10,0,0,0,38,Scope_Dot6
416,신화 도트 사이트 +11,Mystic11,0,0,0,40,Scope_Dot6
417,신화 도트 사이트 +12,Mystic12,0,0,0,42,Scope_Dot6
418,신화 도트 사이트 +13,Mystic13,0,0,0,44,Scope_Dot6
419,신화 도트 사이트 +14,Mystic14,0,0,0,46,Scope_Dot6
420,신화 도트 사이트 +15,Mystic15,0,0,0,48,Scope_Dot6
421,신화 도트 사이트 +16,Mystic16,0,0,0,50,Scope_Dot6
422,신화 도트 사이트 +17,Mystic17,0,0,0,52,Scope_Dot6
423,신화 도트 사이트 +18,Mystic18,0,0,0,54,Scope_Dot6
424,신화 도트 사이트 +19,Mystic19,0,0,0,56,Scope_Dot6
425,신화 도트 사이트 +20,Mystic20,0,0,0,58,Scope_Dot6
501,노말 배율 조준경,Normal,0,0,3,0,Scope_Mag1
502,레어 배율 조준경,Rare,0,0,6,0,Scope_Mag2
503,에픽 배율 조준경,Epic,0,0,9,0,Scope_Mag3
504,유니크 배율 조준경,Unique,0,0,12,0,Scope_Mag4
505,전설 배율 조준경,Legend,0,0,15,0,Scope_Mag5
506,신화 배율 조준경 +1,Mystic1,0,0,20,0,Scope_Mag6
507,신화 배율 조준경 +2,Mystic2,0,0,22,0,Scope_Mag6
508,신화 배율 조준경 +3,Mystic3,0,0,24,0,Scope_Mag6
509,신화 배율 조준경 +4,Mystic4,0,0,26,0,Scope_Mag6
510,신화 배율 조준경 +5,Mystic5,0,0,28,0,Scope_Mag6
511,신화 배율 조준경 +6,Mystic6,0,0,30,0,Scope_Mag6
512,신화 배율 조준경 +7,Mystic7,0,0,32,0,Scope_Mag6
513,신화 배율 조준경 +8,Mystic8,0,0,34,0,Scope_Mag6
514,신화 배율 조준경 +9,Mystic9,0,0,36,0,Scope_Mag6
515,신화 배율 조준경 +10,Mystic10,0,0,38,0,Scope_Mag6
516,신화 배율 조준경 +11,Mystic11,0,0,40,0,Scope_Mag6
