숙련도 레벨,돌격소총,산탄총,저격소총
1,1단계%n돌격소총 공격력 +1,1단계%n산탄총 공격력 +1,1단계%n저격소총 공격력 +1
2,2단계%n돌격소총 공격력 +1,2단계%n산탄총 공격력 +1,2단계%n저격소총 공격력 +1
3,3단계%n돌격소총 공격력 +1,3단계%n산탄총 공격력 +1,3단계%n저격소총 공격력 +1
4,4단계%n돌격소총 공격력 +1,4단계%n산탄총 공격력 +1,4단계%n저격소총 공격력 +1
5,5단계%n돌격소총 공격력 +1,5단계%n산탄총 공격력 +1,5단계%n저격소총 공격력 +1
6,6단계%n돌격소총 공격력 +1,6단계%n산탄총 공격력 +1,6단계%n저격소총 공격력 +1
7,7단계%n돌격소총 공격력 +1,7단계%n산탄총 공격력 +1,7단계%n저격소총 공격력 +1
8,8단계%n돌격소총 공격력 +1,8단계%n산탄총 공격력 +1,8단계%n저격소총 공격력 +1
9,9단계%n돌격소총 공격력 +1,9단계%n산탄총 공격력 +1,9단계%n저격소총 공격력 +1
10,10단계%n돌격소총 공격력 +1%nActive 2스킬,10단계%n산탄총 공격력 +1%nActive 2스킬,10단계%n저격소총 공격력 +1%nActive 2스킬
11,11단계%n돌격소총 공격력 +1,11단계%n산탄총 공격력 +1,11단계%n저격소총 공격력 +1
12,12단계%n돌격소총 공격력 +1,12단계%n산탄총 공격력 +1,12단계%n저격소총 공격력 +1
13,13단계%n돌격소총 공격력 +1,13단계%n산탄총 공격력 +1,13단계%n저격소총 공격력 +1
14,14단계%n돌격소총 공격력 +1,14단계%n산탄총 공격력 +1,14단계%n저격소총 공격력 +1
15,15단계%n돌격소총 공격력 +1,15단계%n산탄총 공격력 +1,15단계%n저격소총 공격력 +1
16,16단계%n돌격소총 공격력 +1,16단계%n산탄총 공격력 +1,16단계%n저격소총 공격력 +1
17,17단계%n돌격소총 공격력 +1,17단계%n산탄총 공격력 +1,17단계%n저격소총 공격력 +1
18,18단계%n돌격소총 공격력 +1,18단계%n산탄총 공격력 +1,18단계%n저격소총 공격력 +1
19,19단계%n돌격소총 공격력 +1,19단계%n산탄총 공격력 +1,19단계%n저격소총 공격력 +1
20,20단계%n돌격소총 공격력 +1%nActive 3스킬,20단계%n산탄총 공격력 +1%nActive 3스킬,20단계%n저격소총 공격력 +1%nActive 3스킬
21,21단계%n돌격소총 공격력 +1,21단계%n산탄총 공격력 +1,21단계%n저격소총 공격력 +1
22,22단계%n돌격소총 공격력 +1,22단계%n산탄총 공격력 +1,22단계%n저격소총 공격력 +1
23,23단계%n돌격소총 공격력 +1,23단계%n산탄총 공격력 +1,23단계%n저격소총 공격력 +1
24,24단계%n돌격소총 공격력 +1,24단계%n산탄총 공격력 +1,24단계%n저격소총 공격력 +1
25,25단계%n돌격소총 공격력 +1,25단계%n산탄총 공격력 +1,25단계%n저격소총 공격력 +1
26,26단계%n돌격소총 공격력 +1,26단계%n산탄총 공격력 +1,26단계%n저격소총 공격력 +1
27,27단계%n돌격소총 공격력 +1,27단계%n산탄총 공격력 +1,27단계%n저격소총 공격력 +1
28,28단계%n돌격소총 공격력 +1,28단계%n산탄총 공격력 +1,28단계%n저격소총 공격력 +1
29,29단계%n돌격소총 공격력 +1,29단계%n산탄총 공격력 +1,29단계%n저격소총 공격력 +1
30,30단계%n돌격소총 공격력 +1%nAuto 1스킬,30단계%n산탄총 공격력 +1%nAuto 1스킬,30단계%n저격소총 공격력 +1%nAuto 1스킬
31,31단계%n돌격소총 공격력 +1,31단계%n산탄총 공격력 +1,31단계%n저격소총 공격력 +1
32,32단계%n돌격소총 공격력 +1,32단계%n산탄총 공격력 +1,32단계%n저격소총 공격력 +1
33,33단계%n돌격소총 공격력 +1,33단계%n산탄총 공격력 +1,33단계%n저격소총 공격력 +1
34,34단계%n돌격소총 공격력 +1,34단계%n산탄총 공격력 +1,34단계%n저격소총 공격력 +1
35,35단계%n돌격소총 공격력 +1,35단계%n산탄총 공격력 +1,35단계%n저격소총 공격력 +1
36,36단계%n돌격소총 공격력 +1,36단계%n산탄총 공격력 +1,36단계%n저격소총 공격력 +1
37,37단계%n돌격소총 공격력 +1,37단계%n산탄총 공격력 +1,37단계%n저격소총 공격력 +1
38,38단계%n돌격소총 공격력 +1,38단계%n산탄총 공격력 +1,38단계%n저격소총 공격력 +1
39,39단계%n돌격소총 공격력 +1,39단계%n산탄총 공격력 +1,39단계%n저격소총 공격력 +1
40,40단계%n돌격소총 공격력 +1%nAuto 2스킬,40단계%n산탄총 공격력 +1%nAuto 2스킬,40단계%n저격소총 공격력 +1%nAuto 2스킬
41,41단계%n돌격소총 공격력 +1,41단계%n산탄총 공격력 +1,41단계%n저격소총 공격력 +1
42,42단계%n돌격소총 공격력 +1,42단계%n산탄총 공격력 +1,42단계%n저격소총 공격력 +1
43,43단계%n돌격소총 공격력 +1,43단계%n산탄총 공격력 +1,43단계%n저격소총 공격력 +1
44,44단계%n돌격소총 공격력 +1,44단계%n산탄총 공격력 +1,44단계%n저격소총 공격력 +1
