숙련도 레벨,돌격소총,산탄총,저격소총,ResetCost,UpgradeCost,RefundCost
1,1단계%n돌격소총 공격력 +1,1단계%n산탄총 공격력 +3,1단계%n저격소총 공격력 +6,100,50,0
2,2단계%n돌격소총 공격력 +1,2단계%n산탄총 공격력 +3,2단계%n저격소총 공격력 +6,100,50,50
3,3단계%n돌격소총 공격력 +1,3단계%n산탄총 공격력 +3,3단계%n저격소총 공격력 +6,100,50,100
4,4단계%n돌격소총 공격력 +1,4단계%n산탄총 공격력 +3,4단계%n저격소총 공격력 +6,100,50,150
5,5단계%n돌격소총 공격력 +1,5단계%n산탄총 공격력 +3,5단계%n저격소총 공격력 +6,100,50,200
6,6단계%n돌격소총 공격력 +1,6단계%n산탄총 공격력 +3,6단계%n저격소총 공격력 +6,100,50,250
7,7단계%n돌격소총 공격력 +1,7단계%n산탄총 공격력 +3,7단계%n저격소총 공격력 +6,100,50,300
8,8단계%n돌격소총 공격력 +1,8단계%n산탄총 공격력 +3,8단계%n저격소총 공격력 +6,100,50,350
9,9단계%n돌격소총 공격력 +1,9단계%n산탄총 공격력 +3,9단계%n저격소총 공격력 +6,100,50,400
10,10단계%n돌격소총 공격력 +1%nActive 2스킬,10단계%n산탄총 공격력 +3%nActive 2스킬,10단계%n저격소총 공격력 +6%nActive 2스킬,100,50,450
11,11단계%n돌격소총 공격력 +1,11단계%n산탄총 공격력 +3,11단계%n저격소총 공격력 +6,100,100,500
12,12단계%n돌격소총 공격력 +1,12단계%n산탄총 공격력 +3,12단계%n저격소총 공격력 +6,100,100,600
13,13단계%n돌격소총 공격력 +1,13단계%n산탄총 공격력 +3,13단계%n저격소총 공격력 +6,100,100,700
14,14단계%n돌격소총 공격력 +1,14단계%n산탄총 공격력 +3,14단계%n저격소총 공격력 +6,100,100,800
15,15단계%n돌격소총 공격력 +1,15단계%n산탄총 공격력 +3,15단계%n저격소총 공격력 +6,100,100,900
16,16단계%n돌격소총 공격력 +1,16단계%n산탄총 공격력 +3,16단계%n저격소총 공격력 +6,100,100,1000
17,17단계%n돌격소총 공격력 +1,17단계%n산탄총 공격력 +3,17단계%n저격소총 공격력 +6,100,100,1100
18,18단계%n돌격소총 공격력 +1,18단계%n산탄총 공격력 +3,18단계%n저격소총 공격력 +6,100,100,1200
19,19단계%n돌격소총 공격력 +1,19단계%n산탄총 공격력 +3,19단계%n저격소총 공격력 +6,100,100,1300
20,20단계%n돌격소총 공격력 +1%nActive 3스킬,20단계%n산탄총 공격력 +3%nActive 3스킬,20단계%n저격소총 공격력 +6%nActive 3스킬,100,100,1400
21,21단계%n돌격소총 공격력 +1,21단계%n산탄총 공격력 +3,21단계%n저격소총 공격력 +6,100,200,1500
22,22단계%n돌격소총 공격력 +1,22단계%n산탄총 공격력 +3,22단계%n저격소총 공격력 +6,100,200,1700
23,23단계%n돌격소총 공격력 +1,23단계%n산탄총 공격력 +3,23단계%n저격소총 공격력 +6,100,200,1900
24,24단계%n돌격소총 공격력 +1,24단계%n산탄총 공격력 +3,24단계%n저격소총 공격력 +6,100,200,2100
25,25단계%n돌격소총 공격력 +1,25단계%n산탄총 공격력 +3,25단계%n저격소총 공격력 +6,100,200,2300
26,26단계%n돌격소총 공격력 +1,26단계%n산탄총 공격력 +3,26단계%n저격소총 공격력 +6,100,200,2500
27,27단계%n돌격소총 공격력 +1,27단계%n산탄총 공격력 +3,27단계%n저격소총 공격력 +6,100,200,2700
28,28단계%n돌격소총 공격력 +1,28단계%n산탄총 공격력 +3,28단계%n저격소총 공격력 +6,100,200,2900
29,29단계%n돌격소총 공격력 +1,29단계%n산탄총 공격력 +3,29단계%n저격소총 공격력 +6,100,200,3100
30,30단계%n돌격소총 공격력 +1%nAuto 1스킬,30단계%n산탄총 공격력 +3%nAuto 1스킬,30단계%n저격소총 공격력 +6%nAuto 1스킬,100,200,3300
31,31단계%n돌격소총 공격력 +1,31단계%n산탄총 공격력 +3,31단계%n저격소총 공격력 +6,200,300,3500
32,32단계%n돌격소총 공격력 +1,32단계%n산탄총 공격력 +3,32단계%n저격소총 공격력 +6,200,300,3800
33,33단계%n돌격소총 공격력 +1,33단계%n산탄총 공격력 +3,33단계%n저격소총 공격력 +6,200,300,4100
34,34단계%n돌격소총 공격력 +1,34단계%n산탄총 공격력 +3,34단계%n저격소총 공격력 +6,200,300,4400
35,35단계%n돌격소총 공격력 +1,35단계%n산탄총 공격력 +3,35단계%n저격소총 공격력 +6,200,300,4700
36,36단계%n돌격소총 공격력 +1,36단계%n산탄총 공격력 +3,36단계%n저격소총 공격력 +6,200,300,5000
37,37단계%n돌격소총 공격력 +1,37단계%n산탄총 공격력 +3,37단계%n저격소총 공격력 +6,200,300,5300
38,38단계%n돌격소총 공격력 +1,38단계%n산탄총 공격력 +3,38단계%n저격소총 공격력 +6,200,300,5600
39,39단계%n돌격소총 공격력 +1,39단계%n산탄총 공격력 +3,39단계%n저격소총 공격력 +6,200,300,5900
40,40단계%n돌격소총 공격력 +1%nAuto 2스킬,40단계%n산탄총 공격력 +3%nAuto 2스킬,40단계%n저격소총 공격력 +6%nAuto 2스킬,200,300,6200
41,41단계%n돌격소총 공격력 +1,41단계%n산탄총 공격력 +3,41단계%n저격소총 공격력 +6,300,400,6500
42,42단계%n돌격소총 공격력 +1,42단계%n산탄총 공격력 +3,42단계%n저격소총 공격력 +6,300,400,6900
43,43단계%n돌격소총 공격력 +1,43단계%n산탄총 공격력 +3,43단계%n저격소총 공격력 +6,300,400,7300
44,44단계%n돌격소총 공격력 +1,44단계%n산탄총 공격력 +3,44단계%n저격소총 공격력 +6,300,400,7700
45,45단계%n돌격소총 공격력 +1,45단계%n산탄총 공격력 +3,45단계%n저격소총 공격력 +6,300,400,8100
46,46단계%n돌격소총 공격력 +1,46단계%n산탄총 공격력 +3,46단계%n저격소총 공격력 +6,300,400,8500
47,47단계%n돌격소총 공격력 +1,47단계%n산탄총 공격력 +3,47단계%n저격소총 공격력 +6,300,400,8900
48,48단계%n돌격소총 공격력 +1,48단계%n산탄총 공격력 +3,48단계%n저격소총 공격력 +6,300,400,9300
49,49단계%n돌격소총 공격력 +1,49단계%n산탄총 공격력 +3,49단계%n저격소총 공격력 +6,300,400,9700
50,50단계%n돌격소총 공격력 +1%nPassive 1스킬,50단계%n산탄총 공격력 +3%nPassive 1스킬,50단계%n저격소총 공격력 +6%nPassive 1스킬,300,400,10100
51,51단계%n돌격소총 공격력 +1,51단계%n산탄총 공격력 +3,51단계%n저격소총 공격력 +6,400,500,10500
52,52단계%n돌격소총 공격력 +1,52단계%n산탄총 공격력 +3,52단계%n저격소총 공격력 +6,400,500,11000
53,53단계%n돌격소총 공격력 +1,53단계%n산탄총 공격력 +3,53단계%n저격소총 공격력 +6,400,500,11500
54,54단계%n돌격소총 공격력 +1,54단계%n산탄총 공격력 +3,54단계%n저격소총 공격력 +6,400,500,12000
55,55단계%n돌격소총 공격력 +1,55단계%n산탄총 공격력 +3,55단계%n저격소총 공격력 +6,400,500,12500
56,56단계%n돌격소총 공격력 +1,56단계%n산탄총 공격력 +3,56단계%n저격소총 공격력 +6,400,500,13000
57,57단계%n돌격소총 공격력 +1,57단계%n산탄총 공격력 +3,57단계%n저격소총 공격력 +6,400,500,13500
58,58단계%n돌격소총 공격력 +1,58단계%n산탄총 공격력 +3,58단계%n저격소총 공격력 +6,400,500,14000
59,59단계%n돌격소총 공격력 +1,59단계%n산탄총 공격력 +3,59단계%n저격소총 공격력 +6,400,500,14500
60,60단계%n돌격소총 공격력 +1%nPassive 2스킬,60단계%n산탄총 공격력 +3%nPassive 2스킬,60단계%n저격소총 공격력 +6%nPassive 2스킬,400,500,15000
61,최대레벨 도달,최대레벨 도달,최대레벨 도달,400,0,15500
